390.4	163	553.3
392.2	99	491.3
392.2	113	505.3
392.2	114	506.4
420.2	99	519.2
471.4	147	618.3
471.4	163	634.4
491.3	97	588.2
505.3	128	633.4
505.3	113	618.3
505.3	147	652.4
506.4	128	634.4
519.2	99	618.3
519.2	97	616.2
519.2	114	633.4
553.3	99	652.4
600.3	163	763.4
616.2	147	763.4
616.2	114	730.3
617.4	113	730.3
617.4	147	764.4
617.4	163	780.4
618.3	163	781.4
633.4	147	780.4
633.4	97	730.3
634.4	128	762.6
634.4	147	781.4
634.4	163	797.3
636.2	128	764.4
636.2	113	749.4
651.5	128	779.6
651.5	113	764.4
652.4	128	780.4
652.4	97	749.4
730.3	147	877.4
730.3	163	893.4
749.4	128	877.4
749.4	113	862.4
749.4	147	896.5
762.6	114	876.4
763.4	99	862.4
763.4	113	876.4
763.4	114	877.4
764.4	113	877.4
764.4	114	878.6
764.4	163	927.4
779.6	99	878.6
779.6	97	876.4
779.6	114	893.4
780.4	99	879.4
780.4	113	893.4
780.4	147	927.4
780.4	97	877.4
780.4	114	894.4
781.4	113	894.4
781.4	97	878.6
781.4	114	895.4
781.4	163	944.4
782.4	113	895.4
782.4	97	879.4
782.4	114	896.5
797.3	99	896.5
797.3	147	944.4
797.3	97	894.4
862.4	113	975.5
862.4	114	976.5
876.4	99	975.5
876.4	163	1039.5
877.4	99	976.5
877.4	128	1005.5
877.4	147	1024.5
877.4	163	1040.3
878.6	99	977.4
878.6	97	975.5
879.4	128	1007.5
879.4	97	976.5
879.4	163	1042.5
893.4	147	1040.3
893.4	114	1007.5
894.4	128	1022.5
894.4	113	1007.5
894.4	163	1057.5
895.4	147	1042.5
896.5	128	1024.5
896.5	147	1043.4
927.4	113	1040.3
927.4	97	1024.5
944.4	99	1043.4
944.4	113	1057.5
975.5	163	1138.6
976.5	163	1139.5
1005.5	114	1119.6
1005.5	163	1168.6
1007.5	113	1120.6
1022.5	97	1119.6
1022.5	163	1185.4
1023.7	97	1120.6
1023.7	114	1137.6
1024.5	113	1137.6
1024.5	147	1171.6
1024.5	114	1138.6
1039.5	99	1138.6
1040.3	99	1139.5
1042.5	97	1139.5
1042.5	114	1156.5
1043.4	128	1171.6
1043.4	113	1156.5
1043.4	114	1157.6
1057.5	99	1156.5
1057.5	128	1185.4
1057.5	114	1171.6
1057.5	163	1220.6
1119.6	147	1266.5
1120.6	147	1267.5
1137.6	113	1250.5
1138.6	128	1266.5
1139.5	128	1267.5
1157.6	99	1256.5
1168.6	99	1267.5
1171.6	97	1268.6
